inventory_number,author,title,publisher,category
A321,Domenico Bartolini- Riccardo Pontegobbi,Leggere l'olocausto. Proposte di lettura per ragazzi ed educatori,Idest 1998,Antologia
A322,Gruppo di lavoro Integrazione scol. PV,F.O.T.O.S Formazione teatro Orientamento SperimentazioneUfficio Scolastico PV,-,Saggio
A323,IgnazionSilone,L'avventura d'un povero cristiano,Oscar Mondadori 1968,Romanzo
A324,Jean Paul Sartre,Morti senza tomba - Le mani sporche,Oscar Mondadori 1949,Romanzo
A325,Alfredo Panzini,Il padrone sono me,Oscar Mondadori 1922,"Romanzo,lingua inglese"
828,William Thackeray,Vanity fair,Oxford University Press 1983,"Romanzo,lingua inglese"
827,Charles Dickens,David Copperfield,Oxford University Press 1982,"Romanzo,lingua inglese"
809,Jack London,"The call of the Wild, White fang and other stories",Oxford University Press 1991,"Romanzo,lingua inglese"
810,Robert L. Stevenson,Dr. Jekyll and Mr. Hyde and Weir of Hermiston,Oxford Univesity Press 1987,"Romanzo,lingua inglese"
823,Daniel Defoe,Moll Flanders,Oxford University Press 1981,"Romanzo,lingua inglese"
806,Viginia Woolf,Orlando,Oxford University Press 1992,"Romanzo,lingua inglese"
A1072,Michail Bulgakov,Il maestro e Margherita,I Minimammut,"Romanzo, Mosca, diavolo"
A1070,Francis Scott Fitzgerald,Il grande Gatsby,I Minimammut,"Romanzo, anni Venti, amore"
A1071,Gabriele D’Annunzio,Il piacere,I Minimammut,"Romanzo, Decadentismo, dandy"
A1074,Renata Viganò,L’Agnese va a morire,Einaudi,"Romanzo, resistenza"
A1028,Isaac B. Singer,Nuove storie alla corte di mio padre,Longanesi,"Racconti, varsavia, ghetto ebraico"
A1073,Oriana Fallaci,Oriana Fallaci intervista Oriana Fallaci,Corriere della sera,"Saggio, storia, giornalismo"
A1056,Oriana Fallaci,La rabbia e l’orgoglio,Best Bur,"Saggio, Torri gemelle, islamismo"
A1046,Rosetta Loy,La parola ebreo,Einaudi,"Romanzo storico, persecuzioni razziali"
A1027,Yann Martel,Vita di Pi,Piemme,"Romanzo, viaggio, naufragio"
A1057,Oriana Fallaci,Quel giorno sulla luna,Bur,"Saggio, allunaggio"
A1063,Stefano Benni,Achille piè veloce,Feltrinelli,"Romanzo, amicizia, disagio"
A1005,Giovanni Verga,Storia di una capinera,Crescere Edizioni,"Romanzo, conversione forzata, amore"
A1130,Jonathan Safran Foer,"Molto forte, incredibilmente vicino",Guanda,"Romanzo, torri gemelle, ricerca"
A1035,Schopenhauer,L’arte di ottenere ragione,Adelphi,"Saggio filosofico, dialettica"
A1000,Italo Svevo,La coscienza di Zeno,Newton,"Romanzo, identità, psicologia"
A1044,Luigi Pirandello,Sei personaggi in cerca d’autore,Crescere Edizioni,"Dramma, identità"
A1047,Roy Lewis,Il più grande uomo scimmia del pleistocene,Adelphi,"Romanzo, specie umana"
A1067,Jane Austen,Tutti i romanzi,Newton,"Raccolta, romanzi"
A1002,Edgar Allan Poe,Storia di Gordon Pym,Rizzoli,"Romanzo, avventura, marinai"
A1065,Oscar Wilde,Aforismi,Barbera Editore,raccolta pensieri
A1064,Oscar Wilde,L’importanza di essere Franco,Rusconi,"Commedia, equivoci,"
A1066,Siobhan Dowd,La bambina dimenticata dal tempo,Uovonero,"Romanzo adolescenza, Irlanda"
A1003,UgoFoscolo,Le ultime lettere di Jacopo Ortis,Espresso,"Romanzo epistolare, illusioni, amore,morte"
A1009,Dino Buzzati,Il deserto dei Tartari,O. Mondadori,"Romanzo,viaggio, tempo"
A1001,Ignazio Silone,Fontamara,O. Mondadori,"Romanzo, Abruzzo, difficoltà"
A1026,Judith Kerr,Quando Hitler rubò il coniglio rosa,Bur ragazzi,"Romanzo, infanzia , persecuzioni razziali"
A1076,Antonio Skarmeta,Il postino di Neruda,Garzanti,"Romanzo, amore,"
A1075,Carlo Goldoni,La locandiera,O. Mondadori,"Commedia, amore, beffa, borghesia"
A1007,Antonio Fogazzaro,Malombra,Repubblica,"Romanzo, pazzia, identità, amore"
A1029,Harper Lee,Il buio oltre la siepe,Feltrinelli,"Romanzo, omicidio, razzismo"
A1080,Helen Humphreys,Il giardino perduto,Playground,Romanzo
A1079,Charles Dickens,David Copperfield,Crescere Edizioni,"Romanzo di formazione, orfano"
A1077,Annie Franҫois,La lettrice,Guanda,Romanzo
A1078,Antonio Tabucchi,Sostiene Pereira,Feltrinelli,"Romanzo storico, Lisbona,"
A1062,Grazia Deledda,Canne al vento,San Paolo,"Romanzo,"
A1069,Giovanni Verga,Mastro Don Gesualdo,Newton,"Romanzo, verismo,"
A1061,Luigi Pirandello,Uno nessuno e centomila,Newton,"Romanzo, crisi identità"
-,Gabriele D’annunzio,Il piacere,Gulliver,"Romanzo, estetismo"
A1016-a,Miguel de Cervantes,Don Chisciotte della Mancia 2 vol.,Deagostini,"Romanzo, Hidalgo, avventure"
A1016-b,Miguel de Cervantes,Don Chisciotte della Mancia 2 vol.,Deagostini,"Romanzo, Hidalgo, avventure"
A1034,SiobhanVivian,La lista,UP Feltrinelli,"Romanzo, adolescenza, difficoltà"
A1006,Italo Calvino,Marcovaldo,Mondadori,"Romanzo, natura, città"
A1025,Edgar Allan Poe,Racconti del mistero,Super Bur,Racconti mistero
A1008,Luigi Capuana,Il marchese di Roccaverdina,De Agostini,Romanzo
A1004,Emily Brontë,Cime tempestose,De Agostini,"Romanzo, passione"
A1131,Isaac Asimov,Le grandi storie della fantascienza,Newton,"Racconti, fantascienza"
A1013,Terry Brooks,Il ciclo di Shannara,Mondadori,Raccolta romanzi fantasy
A1012,Terry Brooks,L’ultima magia,Oscar Mondadori,Romanzo fantasy
A1014,Terry Brooks,Il labirinto,Oscar Mondadori,Romanzo fantasy
A1038,Paulo Coelho,L’Alchimista,Bompiani,"Romanzo, filosofia, libertà"
A1021,Suzanne Collins,Gregor (la profezia del flagello),Oscar Mondadori,Romanzo fantasy
A1048,Lindsey Davis,In pasto ai leoni,Marco Tropea editore,"Romanzogiallo storico, antica Roma"
A1033,Vanessa Diffenbaugh,Il linguaggio segreto dei fiori,Garzanti,"Romanzo, solitudine, adozione"
A1023,Arthur Conan Doyle,Uno studio in rosso,Oscar Mondadori,Racconto giallo
A1022,Arthur Conan Doyle,Uno studio in rosso,Il sole 24 ore,Racconto giallo
A1015,David Eddings,La grande dea,Sperling & kupfer,Romanzo fantasy
A1039,Gandhi,La voce della verità,Grandi Tascabili newton,"Discorsi e pensieri, pace, libertà"
A1030,Paolo Giordano,La solitudine dei numeri primi,Oscar Mondadori,"Romanzo, adolescenza, trauma, solitudine"
A1054,Hemingway,Per chi suona la campana,Oscar Mondadori,"Romanzo, guerra civile spagnola,"
A1051,Hemingway,Storie della guerra di Spagna,Oscar Mondadori,"Racconti, guerra civile"
A1049,Hemingway,Addio alle armi,Corriere della sera,"Romanzo, prima guerra mondiale"
A1011,James Joyce,Gente di Dublino,Grandi tascabili Newton,"Racconti, Dublino, frustrazioni"
A1041,Franz Kafka,Tutti i racconti,Grandi tascabili Newton,"Racconti, angoscia, identità"
A1052,Vaìlerio Massimo Manfredi,Idi di marzo,Oscar Mondadori,"Romanzo, Giulio Cesare, congiura"
A1050,Vaìlerio Massimo Manfredi,Il mio nome è Nessuno (Il giuramento),Oscar Mondadori,"Romanzo Ulisse, guerra di Troia"
A1053,Vaìlerio Massimo Manfredi,L’armata perduta,Oscar Mondadori,"Romanzo, guerre persiane"
A1042,Edgar LeeMasters,Antologia di Spoon River,Grandi tascabili Newton,"Raccolta, poesie, lapidi"
A1043,Edgar LeeMasters,Il nuovo Spoon River,Grandi tascabili Newton,Raccolta poesie lapidi
A1060,Herman Melville,Moby Dick,Oscar Ink,"Graphic novel, balena"
A1068,Haruki Murakami,Il mestiere dello scrittore,Einaudi,"Saggio, scrittura"
A1019,Christopher Paolini,Eldest,Bur,"Romanzo fantasy, drago"
A1045,Luigi Pirandello,Maschere nude (volume 1),Grandi tascabili Newton,"Raccolta, teatro"
A1018,Philip Pullman,Il cannocchiale d’ambra,TEA,Romanzo fantasy
A1017,Philip Pullman,La lama sottile,Salani,Romanzo fantasy
A1055,Erich Maria Remarque,Niente di nuovo sul fronte occidentale,Bur,Romanzo storico Prima guerra mondiale
A1036,Carlo Rovelli,Sette brevi lezioni di Fisica,Adelphi,"Saggio, cosmo, spazio"
A1020,John Ronald Reuel Tolkien,Lo Hobbit,Bompiani,Romanzo fantasy
A1040,Giorgio Vasari,"Le vite dei più eccellenti pittori,scultori,architetti",Grandi tascabili Newton,Biografie artisti
A1032,Carlos Ruiz Zafon,L’ombra del vento,Mondadori,"Romanzo, Spagna, mistero"
A1151,Rossella Postorino,Le assaggiatrici,Feltrinelli Milano 2018,"Romanzo, Nazismo"
A1152,Giorgio Scianna,Qualcosa ci inventeremo,Einaudi 2014,"Romanzo, adolescenti, solitudine"
A1153,Giorgio Scianna,Cose più grandi di noi,Einaudi 2019,"Romanzo, terriorismo"
A1154,Giorgio Scianna,La regola dei pesci,Einaudi 2017,"Romanzo, fuga, ribellione"
A1173,Antony De Mello,Messaggio di un’aquila che si crede un pollo,PicKwick Piemme 2015,Identità
A1156,Ryszard Kapuscinski,shah- in-shah,Economica Feltrinelli 2017,"Saggio, Iran, Khomeini"
A1157,William Golding,Il signore delle mosche,Mondadori 2018,"Romanzo, naufragio, distopia"
A1148,Todd Strasser,L’onda,Bur 2018,"Romanzo, storia vera, liceo, nazismo"
A1144,Elena Ferrante,L’amica geniale,edizioni e/o 2018,"Romanzo, amicizia"
A1145,Michael Zadoorian,Beautiful Music,Marcosymarcos 2018,"Romanzo, adolescenza musica"
A1155,Paolo Giordano,La solitudine dei numeri primi,Mondadori 2018,"Romanzo, adolescenza, mistero"
A1174,Michele Serra,Gli sdraiati,Economica Feltrinelli2016,"Saggio, adolescenza,"
A1165,Lia Levi,Questa sera è già domani,edizioni e/o 2018,"Guerra, leggi raziali"
A1164,Nicola Brunialti,Il paradiso alla fine del mondo,Sperling e Kupfer 2019,Immigrazione
A1158,Matt Killeen,La bambina di Hitler,Garzanti 2019,"Romanzo, campi, persecuzioni"
A1175,Michele Serra,Il nuovo che avanza,economica Feltrinelli2013,"Saggio, società contemporanea"
A1149,Giuseppe Catozzella,E tu splendi,Feltrinelli 2018,"Romanzo, integrazione, infanzia"
A1150,Alessandro D’Avenia,Ciò che inferno non è,Mondadori 2019,"Romanzo, Pino Puglisi, scuola"
A1159,Alessandro D’Avenia,L’arte di essere fragili,Mondadori 2019,"saggio, Zibaldone, poesie, Leopardi"
A1160,Alessandro D’Avenia,Bianca come il latte rossa come il sangue,-,"Romanzo, adolescenza, amore"
A1147,Chiara Gamberale,Le luci nelle case degli altri,Oscar Mondadori 2017,"Romanzo, ricerca padre"
A1168,Fondazione Fabrizio De Andrè,Anche le parole sono nomadi,chiarelettere 2018,Testi canzoni
A1169,Zygmunt Bauman,Modernità liquida,Laterza 2019,"Saggio, economia, società"
A1166,Niccolò Ammaniti,Io non ho paura,Einaudi 2011,"Romanzo, rapporto genitori"
A1171,Luigi Garlando,Per questo mi chiamo Giovanni,Bur 2018,"Romanzo, mafia"
A1172,Fabio Geda,Nel mare ci sono i coccodrilli,Baldini& Castoldi 2017,"Romanzo, immigrazione, infanzia"
A1161,Ameliè Nothomb,Acido solforico,Voland 2015,"Romanzo, reality, campo,"
A1162,Stefano Apuzzo-Stefano Carnazzi,"Quattro sberle in padella -come difendersi dall’inquinamento alimentare e dal cibo spazzatura,",ecoalfabeto 2012,"saggio, ecologia, cucina"
A1163,Giacomo Mazzariol,Mio fratello rincorre i dinosauri,Einaudi 2016,"Romanzo, integrazione"
A1145,Franco Portinari -Giovanna Carbone,174517 deportato:Primo Levi,edizioni la meridiana 2019,"Graphic novel, razzismo, deportazione"
A1146,"Francesco Barilli, Manuel de Carli",il delitto Matteotti,Beccogiallo 2018,"Graphic novel, Mussolini colpo di stato"
A1176,Mates,Veri amici,Mondadori 2016,-
A1170,Enrico Mentana Liliana Segre,La memoria rende liberi,Bur 2018,"Romanzo testimonianza, campi"
A1167,Greta Thumberg,La nostra casa è in fiamme,Mondadori2019,"Saggio, ecologia, surriscaldamento"
A1106,Hans Magnus Enzensberger,Il mago dei numeri,Mondadori 2000,"Saggio, matematica"
A1112,Ken Follett,La caduta dei giganti,Mondadori 2011,"Romanzo, Prima guerra mondiale"
A1105,Daniel Pennac,Il paradiso degli orchi,feltrinelli1992,"Romanzo, Grandi magazzini, bombe"
A1104,Andrea Antonello,baci a Tutti,Pickwick 2016,"Biografia, autismo,accettazione"
A1109,Franco e Andrea Antonello,Sono graditi visi sorridenti,Feltrinelli 2013,"Autobiografia, autismo, viaggio"
A1108,Blake Nelson,Paranoid park,super pocket 2007,"Romanzo, adolescenza, scelte"
A1111,Paolo Crepet,baciami senza rete,Mondadori 2016,"Saggio, mondo digitale"
A1110,Frances Hodgson Burnett,Il giardino segreto,social libri altalegibilità 2017,"Romanzo, adolescenza, scoperte,alta leggibilità"
A1107,Bebe vio,Mi hanno regalato un sogno,best bur 2017,"Autobiografia, scherma, Paraolimpiadi"
A1125,Italo Svevo,Senilità,Tascabili Bompiani1985,"Romanzo, inetto, coscienza"
A1124,Lemony Snichet,"Una serie di sfortunati eventi, un infausto inizio",Salani 2017,"Romanzo, suspance"
A1123,Dominique lapierre,Più grandi dell’amore,Mondadori 1990,"Biografie, AIDS"
A1122,"Daniele Salerno, Fabrizio Bernini",La storia di Voghera,Guardamagna editori in Varzi 2016,Saggio storico
A1121,Alessandro Barbero,La storia (l’origine dell’umanità),Corriere della sera 2017,Saggio storico
A1120,Carlo Greppi,Non restare indietro,Feltrinelli 2015,"Romanzo, Auschwitz, adolescenza"
A1119,Marie -Aude Murail,Persidivista.com,Giunti 2017,"Romanzo, adolescenza suspance"
A1118,Fulvia Degl’Innocenti,la libraia,San Paolo 2014,"Romanzo, adolescenza, scoperta di sé"
A1117,Erica Grazioli,Cioccolato e cannella…io e l’anoressia,edizioni selecta 2016,"Biografia, anoressia"
A1116,Kevin Brooks,Naked,Piemme 2011,"Romanzo, musica punk, adolescenza"
A1114,Enzo Fileno Carabba,Fuga da Magopoli,marcosy marcos 2017,"Romanzo, magia, avventura"
A1115,Enzo Fileno Carabba,Battaglia a Magopoli,marcosy marcos 2017,"Romanzo, magia, avventura"
A1113,David Lindley,la luna di Einstein,Tea 2005,"Saggio, meccanica quantistica"
A1103,Emiliano Poddi,Tre volte invano,instar libri 2012,"Romanzo, basket,adolescenza"
A1142-a,L.Antonielli G.Chittolini,Storia della Lombardia (5 volumi),la terza 2001,Saggio
A1142-b,L.Antonielli G.Chittolini,Storia della Lombardia (5 volumi),la terza 2001,Saggio
A1142-c,L.Antonielli G.Chittolini,Storia della Lombardia (5 volumi),la terza 2001,Saggio
A1142-d,L.Antonielli G.Chittolini,Storia della Lombardia (5 volumi),la terza 2001,Saggio
A1142-e,L.Antonielli G.Chittolini,Storia della Lombardia (5 volumi),la terza 2001,Saggio
A1128,Fedor Dostoevskij,Il giocatore,Bompiani 1997,"Romanzo, gioco d'azzardo"
A11027,Stefano Benni,Margherita Dolcevita,Feltrinelli 2010,"Romanzo, adolescenza, magia"
A1126,john Ronald Reuel TolKien,Lo hobbit,Adelphi 2018,"Romanzo, fantasy"
A1129,Ken Follet,I pilastri della terra,Mondadori 1990,"Romanzo, medioevo, cattedrale"
-,Christian Jacq,I misteri di Osiride 1(l’albero della vita),Corriere della sera2004,Antico Egitto
-,Christian Jacq,I misteri di Osiride 2 (La cospirazione del male),Corriere della sera2004,Antico Egitto
-,Christian Jacq,I misteri di Osiride 3(Il cammino di fuoco),Corriere della sera2004,Antico Egitto
-,Christian Jacq,I misteri di Osiride 4(Il grande segreto),Corriere della sera2004,Antico Egitto
A1027,Ugo Frasca,Noi Italiani,Guida,"Saggio, politica"
A1058,Stato maggiore della difesa,Grande guerra un racconto in 100 immagini,Stato maggiore della difesa,"Saggio, foto, guerra"
A1091,Annie Cohen Solal,Americani per sempre,Johan&Levi,"Saggio pittura, primi novecento"
A1093,Juan Francisco Ferrandiz,La terra maledetta,Longanesi,"Romanzo storico, Barcellona, IX sec."
A1097,Giovanni Boccaccio,Vita di Dante,Moretti& Vitali,"Biografia, poeta"
A1096,Seneca,Apokolokyntosis,O. Mondadori,"Satira, tirannia"
A1092,Piero Bevilacqua,Il grande saccheggio,Anticorpi Laterza,"Saggio, capitalismo"
A1086,"R. Engeln, PHD",Beauty Mania,Harper Collins,"Saggio, testimonianza, ossessione fisico"
A1101,Collettivo senza Slot,Vivere sensza Slot,Nuova dimensione,"Saggio, testimonianze gioco d'azzardo"
A1037,Sigmund Freud,Il sogno e la sua interpretazione,Newton,Saggio divulgativo
A1059,Ari Folman- D. Polonsky,Anne Frank- Diario,GEDI,"Graphic novel, persecuzioni ebrei"
A1100,Marcel Prust,Alla ricerca del tempo perduto,O. Mondadori,"Romanzi, tempo, memoria, sogno"
A1089,Francisco Brines,La rosa della notte,Edizioni Cadmo,Raccolta poesie
A1088,Charles and Mary Lamb,Tales from Shakespeare,Pearson,raccolta personaggi teatrali
A1082,Stephen King,Danze macabre,Frassinelli,"Saggio, scrittura horror"
A1024,Howard PhillipsLovecraft,La casa stregata,Newton,Racconto orrore
A1081,Marilynne Robinson,Lila,Einaudi,"Romanzo, solitudine, accettazione"
A1094,Wilbur Smith,Il settimo papiro,TEA,"Romanzo, avventura, faraone"
A1087,Laura Calosso,La stoffa delle donne,SEM,"Romanzo, fuga,"
A1095,Ted Chiang,Storie della tua vita,Frassinelli,"Romanzo, fantascienza"
A1084,Abir Mukherjee,L'uomo di Calcutta,SEM,"Romanzo, giallo storico"
A1099,Katie Khan,Regalami una stella,Newton,"Romanzo, amore, adolescenza"
A1085,Alessandro Baricco,Novecento,Feltrinelli,"Monologo, piroscafo, pianista"
A1083,Diego Ferra,NUMB Anna,Sperling&Kupfer,"Romanzo, amore, adolescenza"
A1031,Alessandro Baricco,The game,Einaudi,"Saggio, gioco"
A1098,Fedor Dostoevskij,Le notti bianche,Garzanti,"Racconto, sogno, Pietroburgo"
A1090,Lev Tolstoj,Anna Karenina,Einaudi,"Romanzo, amore,famiglia"
A1010,Gabriele D'Annunzio,Motti dannunziani,Newton,"Detti, frasi celebri"
A1132,Desy Icardi,L'annusatrice di libri,Fazi Editore,"Romanzo, libri, adolescenza, mistero"
A1133,Desy Icardi,"Quaderno per ""L'annusatrice di libri",Fazi Editore,-
A1134,Suzy Zail,La pianista di Auschwitz,Il giornale,"Romanzo, adolescenza, persecuzioni razziali"
A1135,Michela Murgia,Accabadora,Prix Page des libraires,"Romanzo, Sardegna"
A1140,Richelle Mead,Midight Jewel,Edizioni LSWR,"Romanzo, amore avventura"
A1137,Tim Bruno,"NEOS, la città sospesa",Salani,Roamzo fantascienza
A1138,Barbara D'Alto,La stanza delle mele,Guida,"Romanzo, mistero, visioni"
A1139,Ann Brashares,La seconda estate,best Bur,"Romanzo amicizia, Jeans"
A1141,Fred Ulmann,L'amico ritrovato,Feltrinelli,"Romanzo, amicizia, persecuzioni razzali"
A1143,Daniel Defoe,Robinson Crusoe,Garzanti,"Romanzo, avventura, naufragio, isola"
A1177,Luigi Pirandello,Sei personaggi in cerca d'autore,Rusconi Libri,"Dramma, identità"
A1178,Katherine Kressmann Taylor,Destinatario sconosciuto,BUR,"Romanzo epistolare, persecuzioni razziali"
A1179,Robert Louis Stevenson,Lo strano caso del Dr. Jekyll e del Sig. Hyde,Epoca,"Romanzo, doppio, bene-male"
A1180,Lois Lowry,The Giver,Giunti 2017,"Romanzo, fantascienza,"
A1181,Anonimo,Le mille e una notte Vol. II,Corriere della sera,"Novelle, Oriente,"
A1182,Luigi Pirandello,Amori senza amore e altre novelle,Rusconi Libri,"Novelle, amore, insoddisfazione"
A1183,Jonathan Coe,La banda dei brocchi,Feltrinelli,"Romanzo, amicizia scuola, anni 70"
A1184,Herman Melville,Moby Dick,Corriere della sera,"Romanzo, avventura, balena"
A1185,Ken Follett,I pilastri della terra,Mondadori,"Romanzo, medioevo, cattedrale"
A1186,Honoré de Balzac,Eugénie Grandet,Garzanti,"Romanzo, Naturalismo,famiglia,"
A1189,Italo Calvino,Il sentiero dei nidi di ragno,Mondadori,"Romanzo, infanzia , resistenza"
A1190,Oscar.ì Wilde,Il ritratto di Dorian Gray,Acquarelli,"Romanzo, Decadentismo, doppio, Bene-male"
A1191,Anonimo,Le mille e una notte Vol. I,Corriere della sera,"Novelle, Oriente,"
A1192,Daniel Pennac,La fata carabina,Feltrinelli,"Romanzo, Parigi, vecchietti"
824,James Fenimore Cooper,The last of the Mohicans,Oxford University Press 1983,"Romanzo, avventura, lingua inglese"
814,George Elliot,The millon the Floss,Oxford University Press 1980,"Romanzo, lingua inglese"
803,Thomas Hardy,Tess of the D'Ubervilles,Oxford University Press 1983,"Romanzo, lingua inglese"
802,Nathaniel Hawthorne,The Scarlet Letter,Oxford University Press 1990,"Romanzo,legalità, colpa, lingua inglese"
818,Charlotte Bronte,Jane Eyre,Oxford University Press 1980,"Romanzo,età vittoriana, lingua inglese"
811,Hermann Melville,Moby Dick,Oxford University Press 1988,"Romanzo,viaggio, avventura, lingua inglese"
826,Charles Dickens,Great Expectations,Oxford University Press 1994,"Romanzo,viaggio, età vittoriana,lingua inglese"
817,Emily Bronte,Wuthering Heights,Oxford University Press 1981,"Romanzo,amore, vendetta,lingua inglese"
805,Virginia Woolf,To the Lighthouse,Oxford University Press 1992,"Romanzo,,lingua inglese"
A1194,Crhistian Jacq,I misteri di Osiride 1-L'albero della vita,Corriere della sera 2004,Romanzo storico
A1195,Crhistian Jacq,I misteri di Osiride 2- La cospirazione del male,Corriere della sera 2004,Romanzo storico
A1196,Crhistian Jacq,I misteri di Osiride 3-Il cammino di Fuoco,Corriere della sera 2004,Romanzo storico
A1197,Crhistian Jacq,I misteri di Osiride 4-Il grande segreto,Corriere della sera 2004,Romanzo storico
819,Jane Austen,Emma,Oxford University Press 1990,"Romanzo,lingua inglese"
820,Jane Austen,Pride and Prejudice,Oxford University Press 1990,"Romanzo,lingua inglese"
A211,Elisabeth Bowen,The House in Paris,Penguin 1976,"Romanzo,lingua inglese"
817,Emily Bronte,Whuthering Heights,Oxford University Press 1981,"Romanzo,lingua inglese"
A314,Lewis Carrol,Alice's adventures in Wonderland and Through the Looking-glass,Oxford University Press 1982,"Romanzo,lingua inglese"
816,John Bunyan,The Pilgrim's Progress,Oxford University Press 1984,"Romanzo,lingua inglese"
829,Geoffrey Chaucher,The Canterbury Tales,Oxford University Press 1983,"Romanzo,lingua inglese"
825,Joseph Conrad,Lord Jim,Oxford University Press 1983,"Romanzo,lingua inglese"
A313,Daniel Defoe,Robinson Crusoe,Oxford University Press 1990,"Romanzo,lingua inglese"
831,Charles Dickens,The PicKwick Papers,Oxford paperbacks 1987,"Romanzo,lingua inglese"
821,Charles Dickens,Christmas Books,Oxford University Press 1985,"Romanzo,lingua inglese"
A275,Arthur Conan Doyle,The Memoirs of Sherlock Holmes,Giunti 2001,"Romanzo,lingua inglese"
626,Gustave Flaubert,L'education sentimentale,Folio 1965,"Romanzo,lingua inglese"
813,Thomas Hardy,Far From the Madding Crowd,Oxford University Press 1993,"Romanzo,lingua inglese"
806,Virginia Woolf,Orlando,Oxford University Press 1992,"Romanzo,lingua inglese"
808,Mark Twain,The adventures of Tom Sawyer,Oxford University Press 1993,"Romanzo,lingua inglese"
A306,Virginia Woolf,Mrs.Dalloway,Cidev 1988,"Romanzo,lingua inglese"
807,Horace Walpole,The castle of Otranto,Oxford University Press 1982,"Romanzo,lingua inglese"
810,Robert Louis Stevenson,Dr.JeKyll and Mr.Hyde,Oxford University Press 1987,"Romanzo,lingua inglese"
812,Jonathan Swift,Gulliver's Travels,Oxford University Press 1986,"Romanzo,lingua inglese"
801,Henry James,The portrait of a lady,Oxford University Press 1981,"Romanzo,lingua inglese"
A311,Rudyard Kipling,The Jungle Books,Oxford University Press 1994,"Romanzo,lingua inglese"
809,Jack London,The Call of the Wild,Oxford University Press 1990,"Romanzo,lingua inglese"
828,William Thackeray,Vanity fair,Oxford University Press 1983,"Romanzo,lingua inglese"
A274,Dava Sobel,Longitudine,Fourth Estate 1995,"Romanzo,lingua inglese"
625,Walter Scott,Ivanhoe,Penguin 1986,"Romanzo,lingua inglese"
A318,Alain De Botton,The consolations of Philosophy,Penguin2000,"Romanzo,lingua inglese"
A317,Henry Fielding,Tom Jopnes,Penguin 1994,"Romanzo,lingua inglese"
827,Charles Dickens,David Copperfield,Oxford University Press 1982,"Romanzo,lingua inglese"
823,Danile Defoe,Moll Flanders,Oxford University Press 1981,"Romanzo,lingua inglese"
A1001-2,Ignazio Silone,Fontamara,Oscar Mondadori 1977,"Romanzo sociale, Mezzogiorno arretrato"
411,Oreste del Buono,La stampa italiana sotto il fascismo,Feltrinelli 1971,Antologia storica
2266,Autori vari,Pragmatica della comunicazione umana,Astrolabio 1971,Saggio linguistica
2194,Autori vari,Programmazione neurolinguistica,Astrolabio 1982,Saggio linguistica
A1193,Ugo Mioni,La coppa del vicerè d'Egitto,Pia Società Figlie di San Paolo 1937,Romanzo storico
A1194,Fabio Paglieri,La cura della ragione,Il Mulino 2016,Saggio filosofico
A1195,Saulle Panizza,Ragazzi che Costituzione!,Plus 2009,Cittadinanza e Costituzione
A1196,Associazione Italiana Editori,"Saperi e libertà- Maschile e femminile nei libri nella scuola, nella vita",AIE 2001,Saggio Pari opportunità
A1197,Domenico Quirico,Il tuffo nel pozzo- E' ancora possibile fare del buon giornalismo,Vita e Pensiero 2017,Saggio giornalismo
A1198,Saulle Panizza,La Costituzione italiana aggiornata a gennaio 2018,PISA University Press 2018,Cittadinanaza e costituzione
A1199,Giuseppe Verdi,Il Trovatore,Fabbri Editore 1995,Libretto d'opera
A1200,Arnald,Diversamente occupati,Artigrafiche Fiorin 2009,Fumetto
A1201,AA.VV.,Il Ragazzini Inglese italiano- italiano inglese,Zanichelli 2015,Dizionario
A1202,AA.VV.,Il Ragazzini Inglese italiano- italiano inglese,Zanichelli 2015,Dizionario
A1203,AA.VV.,Lo Zingarelli,Zanichelli 2017,Dizionario
A1204,AA.VV.,Lo Zingarelli,Zanichelli 2018,Dizionario
A1206,Agatha Christie,Ms Marple nemesi,Oscar Mondadori 1971,giallo
A1205,Agatha Christie,Sfida a Poirot,Oscar Mondadori 1963,giallo
A1207,Agatha Christie,Gli elefanti hanno buona memoria,Oscar Mondadori 1972,giallo
A1208,Agatha Christie,Poirot e la salma,Oscar Mondadori 1946,giallo
A1209,Agatha Christie,Delitto in cielo,Oscar Mondadori 1935,giallo
A1210,Agatha Christie,Carte in tavola,Oscar Mondadori 1936,giallo
A1211,Agatha Christie,Polvere negli occhi,Oscar Mondadori 1953,giallo
A1212,Agatha Christie,I primi casi di Poirot,Oscar Mondadori 1973,giallo
A1213,Agatha Christie,C'era una volta,Oscar Mondadori 1945,giallo
A1214,Agatha Christie,Poirot non sbaglia,Oscar Mondadori 1951,giallo
A1215,Agatha Christie,I sette quadranti,Oscar Mondadori 1929,giallo
A1216,Agatha Christie,Miss Marpl al Bertram Hotel,Oscar Mondadori 1965,giallo
A1217,Jean Giono,L'uomo che piantava gli alberi,Ziliotto 1987,romanzo ecologico
A1218,Enrico Grassani,Anche se voi vi credete assolti,Edizioni Selecta 2016,Fabrizio De Andrè canzoni
A1219,Edgar Allan Poe,Racconti di fantascienza,Newton 1995,racconti di fantascienza
A1220,George Orwell,La fattoria degli animali,Oscar mondadori !995,romanzo distopico
A1221,George Orwell,La fattoria degli animali,Oscar mondadori !995,romanzo distopico
A1222,Guy de Maupassant,Bel-Ami,Giunti 2011,romanzo parigi '800 ascesa sociale
A1223,Immanuel Kant,Per la pace perpetua,Feltrinelli 1991,saggio filosofico
