inventory_number,author,title,publisher,category
589,Elsa Morante,L’isola di Arturo,Einaudi 1957,"Romanzo, adolescenza, Procida"
499,Domenico Starnone,Segni d’oro,Feltrinelli 1992,"Romanzo politico, impegno sociale"
645,Michele Serra,Il nuovo che avanza,Feltrinelli 1997,Racconti sugli inganni della modernità
521-2,Rosetta Loy,Le strade di polvere,Einaudi 1987,"Saga familiare, Piemonte"
190,Grazia Deledda,Canne al vento,Famiglia cristiana 1997,"Romanzo, fragilità umana, Sardegna"
115,Primo Levi,Se questo è un uomo-La tregua,Einaudi 1996,"Romanzo, Shoah, campi di concentramento"
454,Primo Levi,I sommersi e i salvati,Einaudi 1987,"Saggio storico biografico, deportazioni ebrei"
263,JacK Kerouac,I sotterranei,Feltrinelli 1965,"Romanzo autobiografico, fine di un amore"
2587,Antonio Tabucchi,Il filo dell’orizzonte,Universale economica Feltrinelli 1991,"Romanzo-enigma, giallo"
424,Mario Rigoni Stern,Il bosco degli urogalli,Einaudi 1974,Raccolta racconti
414,Renata Viganò,L’Agnese va a morire,Einaudi 1982,"Romanzo neorealista, partigiani"
470,Marco Polo,Il Milione,Einaudi 1982,"Resoconto di viaggio, Cina"
587,Pier Paolo Pasolini,Ragazzi di vita,Garzanti 1992,"Romanzo, Roma, secondo dopoguerra, adolescenza"
416,Ernest Hemingway,Fiesta,Einaudi 1981,"Romanzo, viaggio da Parigi a Pamplona, corrida"
435,Ernest Hemingway,I racconti di Nick Adams,Einaudi 1981,Racconti autobiografici
413,Carlo Levi,Le parole sono pietre,Einaudi 1980,Reportage di viaggio Sicilia rurale arretrata
552,Italo Svevo,Senilità,Economica Feltrinelli 1991,"Romanzo psicologico, inettitudine"
462,Francesca Sanvitale,Verso Paola,Einaudi 1992,"Romanzo breve, viaggio alla ricerca delle proprie origini"
463,Francesca Sanvitale,Verso Paola,Einaudi 1992,"Romanzo breve, viaggio alla ricerca delle proprie origini"
A1193,Mario Tobino,Per le antiche scale,Oscar Mondadori 1976,"Raccolta di racconti,protagonista psichiatra"
379,Joseph Conrad,Racconti di mare e di costa,Mondadori 1971,Racconti fantastici Oceano indiano
548,Niccolò Machiavelli,Il Pincipe,Feltrinelli 1992,Saggio politico su come ottenere e mantenere il potere
610,Massimo D'Azeglio,Ettore Fieramosca,Fabbri editore 1985,Romanzo cavalleresco
503,Aldo Palazzeschi,Le sorelle Materassi,Oscar Mondadori 1990,"Romanzo, figure femminili, primi anni del XX"
543,Giuseppe Tommasi di Lampedusa,Il Gattopardo,Feltrinelli 1993,"Romanzo, Sicilia, trasformazioni sociali, Risorgimento"
846,Howard Post,Gli emarginati,Oscar Mondadori 1973,"Fumetto, naufraghi"
309,Jaroslav Hasek,Il buon soldato sc’veik,Feltrinelli 1966,Romanzo antimilitarista
847,Charles M.Schulz,Il bambino a una dimensione,Oscar Mondadori 1971,selezione di strisce dei Peanuts
848,Charles M.Schulz,E’ domani Charlie Brown,Oscar Mondadori 1974,selezione di strisce dei Peanuts
570,Charles M.Schulz,Un Natale di Charlie Brown,Bompiani 1966,selezione di strisce dei Peanuts
844,Charles Dickens,"Timbra il tuo cartellino, Bristow",Mondadori 1973,"Fumetti, impiegato fannullone"
852,Charles Dickens,Bristow il contestatore integrato,Oscar Mondadori 1973,"Fumetti, impiegato fannullone"
853,Mort Walker,Il mondo è una caserma,Oscar Mondadori 1975,Fumetti antimilitaristi
851,Mort Walker,Manuale della recluta,Oscar Mondadori 1973,Fumetti antimilitaristi
849,Elzie Crisler Segar,Fino all’ultimo spinacio,Oscar Mondadori 1974,"Fumetti, Braccio di Ferro"
542,James Kakalios,La fisica dei supereroi,Einaudi 2005,Saggio scientifico
516,Johnny Hart,B.C. in 24 lezioni,Mondadori 1972,Fumetto
511,Johnny Hart,L’antichissimo mondo di B.C.,Mondadori 1965,Fumetto
1445,Quino,Mafalda colpisce ancora,Bompiani 1969,Fumetto
451,Maria Bellonci,Segreti dei Gonzaga,Oscar Mondadori 1997,"Romanzo storico, Mantova Cinquecento"
457–438,Maria Bellonci,Rinascimento privato,Marsilio,Testo teatrale
624,Walter Scott,Ivanohe,Garzanti 1989,"Romanzo storico, Inghilterra, 1190 circa"
623,Walter Scott,Ivanohe,Garzanti 1989,"Romanzo storico, Inghilterra, 1190 circa"
64,Erodoto,Storie di popoli antichi,Universale dei giovani 1964,"Storia greca, guerre persiane"
A161,Christian Jacq,Il romanzo di Ramses -il figlio della luce,Mondadori 1997,"Romanzo storico, antico Egitto, faraone Ramesse II"
A1136,Roberto Piumini,Uomini con figure,Einaudi scuola 1990,Biografie scultori e pittori
838,Sebastiano Vassalli,La chimera,Einaudi 1992,"Romanzo storico, strega, pregiudizio"
840,Leonardo Sciascia,La strega e il capitano,Bompiani 1995,"Romanzo storico, strega, pregiudizio"
91,Lew Wallace,Ben Hur,Edizioni Paoline 1966,"Romanzo storico, Palestina, Gesù"
362,Apollonio,L’uomo nel 2000,Rizzoli 1968,"Saggio, riflessioni sul futuro"
79,W.H. Armstrong Sounder,Una storia dell’America negra,Bompiani 1971,"Saggio storico, USA razzismo"
200,William Sheridan Allen,Come si diventa nazisti,Einaudi 1968,"Saggio, Germania Repubblica di Weimar, Terzo Reich;"
203,Roberto Battaglia,Storia della Resistenza italiana,Einaudi 1964,"Saggio storico Italia 1943-44, partigiani"
352-496,AA.VV.,Diario del Che in Bolivia,Feltrinelli 1968,"Diario, guerriglia, Sudamerica, 1967"
205,Piero Malvezzi-GiovanniPirelli,Lettere di condannati a morte della Resistenza europea,Einaudi 1967,"Testimonianza storica, nazifascismo"
1515,Alessandra MeluccoVaccaro,I Longobardi in Italia,Longanesi 1982,"Saggio storico, archeologia longobarda"
519-520,Clara Sereni,Il gioco dei regni,Giunti 1993,"Romanzo storico, Novecento, storia di famiglia"
524,Michel Vovelle,La Rivoluzione francese spiegata a mia nipote,Einaudi 2007,"Saggio, Francia 1789, Terrore"
523,Karl Marx Friedrich Engels,Manifesto del Partito Comunista,Einaudi 1998,"Saggio, progetto politico dei comunisti"
521,Joseph Stiglitz,La globalizzazione che funziona,Einaudi 2006,"Saggio, economia, politica"
629,Charles Darwin,L’origine della specie,Einaudi 2009,"Saggio scientifico, evoluzionismo"
1851,Jay M.Savage,L’evoluzione,Zanichelli 1967,"Saggio scientifico, evoluzionismo"
522,Edoardo Boncinelli,Le forme della vita,Einaudi 2006,"Saggio scientifico evoluzione , DNA"
546,Eileen Power,Vita nel Medioevo,Einaudi 1999,"Testimonianza storica, vita vissuta da gente comune"
354,Emilio Lussu,Un anno sull’altipiano,Einaudi 1960,"Romanzo, memoriale Prima guerra mondiale, brigata Sassari, insensatezza guerra"
390,Emilio Lussu,Marcia su Roma e dintorni,Einaudi 1974,"Biografia, antifascismo, legami con lo stato italiano"
17,ThomasMann,I Buddenbrook,Mondadori 1970,"Romanzo, decadenza borghesia, Lubecca, valori morali"
409,ThomasMann,"Tonio Kroger ,La morte a Venezia, Cane e padrone",Garzanti 1982,Raccolta di racconti
386,Lugi Pirandello,Il fu Mattia Pascal,Mondadori 2000,"Romanzo, frantumazione dell'identità, evasione dal contesto sociale, umorismo"
534,Luigi Pirandello,I vecchi e i giovani,Garzanti 1993,"Romanzo storico, Mezzogiorno arretrato,"
328,Luigi Pirandello,I vecchi e i giovani,Mondadori 1967,"Romanzo storico, Mezzogiorno arretrato,"
2720,Luigi Pirandello,I vecchi e i giovani,Garzanti 1993,"Romanzo storico, Mezzogiorno arretrato,"
292,Luigi Pirandello,Dal naso al cielo,Mondadori 1973,Raccolta di novelle
382,Giuseppe Tomasi di Lampedusa,Opere,Feltrinelli1974,Raccolta
373/4,Giovanni Verga,Tutte le novelle (due volumi),Mondadori 1970,"Sicilia, lotta per la sopravvivenza, conflitto per il possesso della ""roba"", incomunicabilità"
378,Giovanni Verga,Mastro-Don Gesualdo,O. Mondadori 1966,"Verismo, ciclo dei vinti, logica della ""roba"", discorso indiretto libero"
6319,Giovanni Verga,Mastro Don Gesualdo,Mondadori 1960,"Verismo, ciclo dei vinti, logica della ""roba"", discorso indiretto libero"
293,Giovanni Verga,"Una peccatrice, Storia di una capinera, Eva, Tigre reale",Mondadori 1975,"Romanzi preveristi, Sicilia,"
636,Italo Svevo,La coscienza di Zeno,Scolastiche B. Mondadori 1987,"Romanzo psicologico, diario, inetto, psicanalisi, Freud, monologo interiore"
1699,Ugo Foscolo,Ultime lettere di Jacopo Ortis,Einaudi 1963,"Romanzo epistolare, amore per la patria, esilio, delusione politica, suicidio"
214,Leonardo Sciascia,A ciascuno il suo,Adelphi 1995,"Romanzo giallo, Sicilia, mafia, omicidio, poteri forti"
369,Leonardo Sciascia,La scomparsa di Majorana,Einaudi 1975,"Saggio storico biografico, scomparsa fisico siciliano,"
844-846,Leonardo Sciascia,Il mare color del vino,Einaudi 1973,"Raccolta di racconti, mafia, politica, religiosità popolare, emigrazione, amore"
848/850,Leonardo Sciascia,Il mare color del vino,Einaudi 1973,"Raccolta di racconti, mafia, politica, religiosità popolare, emigrazione, amore"
851-3,Leonardo Sciascia,Todo modo,Einaudi 1974,"Romanzo, omicidio, indagine irrisolta, esrcizi spirituali,"
854-5,Leonardo Sciascia,Il contesto,Einaudi 1971,"Romanzo poliziesco, parodia del giallo, critica al ""sistema"" politico e clientelare i"
856/863,Leonardo Sciascia,Il contesto,Einaudi 1971,"Romanzo poliziesco, parodia del giallo, critica al ""sistema"" politico e clientelare"
489,Vasco Pratolini,Le ragazze di Sanfrediano,Oscar Mondadori 1992,"Romanzo, giovane rubacuori, beffa delle ragazze, linguaggio vernacolare"
352,Antonio Fogazzaro,Piccolo mondo antico,Oscar Mondadori 1970,"Romanzo, Lombardia, Seconda metà dell' Ottocento,giustizia,spirito di carità."
21,Antonio Fogazzaro,Malombra,Oscar Mondadori,"Romanzo gotico, Marina eroina seducente, contrasti interiori fra spiritualità e mondanità"
295,Antonio Fogazzaro,Malombra,Oscar Mondadori 1974,"Romanzo gotico, Marina eroina seducente, contrasti interiori fra spiritualità e mondanità"
A1007,Antonio Fogazzaro,Malombra,Piccola biblioteca di Repubblica,"Romanzo, Lombardia, Seconda metà dell' Ottocento,giustizia,spirito di carità."
469,Giuseppe Berto,Colloqui con il cane,Marsilio 1986,Raccolta racconti sul 68
349,Raffaello Brignetti,Il gabbiano azzurro,Mondadori 1973,Romanzo
400,Ignazio Silone,Il segreto di Luca,Oscar mondadori 2000,"Romanzo psicologico, anni Cinquanta"
A1001,Ignazio Silone,Fontamara,Oscar Mondadori 1977,"Romanzo sociale, Mezzogiorno arretrato"
464-465,Marco Lodoli,I fannulloni,Einaudi 1990,"Romanzo, Italia anni 80"
A130,Alexandre Dumas,I tre moschettieri,Einaudi Classici 2017,"Romanzo d'appendice, Francia 1600, D'Artagnan"
A128,Jules Verne,Viaggio al centro della terra,Einaudi Classici 2014,"Romanzo fantastico, vulcano, Islanda"
A119,Jane Austen,Orgoglio e pregiudizio,Einaudi Classici 2014,"Romanzo, Inghilterra, 1800, Bennet"
A122,Charlotte Brontë,Jane Eyre,Einaudi Classici 2017,"Romanzo di formazione, Inghilterra, governante, Rochester."
A121,Franz Kafka,La metamorfosi,Einaudi Classici 2014,Identità
A118,Joseph Conrad,La linea d’ombra,Einaudi Classici 2015,"Romanzo breve, viaggio in mare, allegoria guerra"
A123,Robert L. Stevenson,Lo stano caso del Dr. Jekyll e del Sig. Hyde,Einaudi Classici 2015,"Romanzo gotico, bene e male, ruolo scienza"
A126,Ferenc Molnar,I ragazzi della via Pàl,Einaudi Classici 2016,"Romanzo per ragazzi, Budapest, bande rivali, amicizia"
A127,Voltaire,Candido,Einaudi Classici 2014,"Racconto filosofico umoristico, contro l'ottimismo razionalista leibniziano"
A137,Fëdor Dostoevskij,Notti bianche,Einaudi Classici 2014,"Romanzo breve, San Pietroburgo, incontro, sognatore"
A135,Francis Scott Fitzgerald,Il grande Gatzby,Einaudi Classici 2014,"Romanzo New York, 1922, età del Jazz, sogno americano"
A124,Ludovico Ariosto,Orlando Furioso I,Einaudi Classici 2015,"Poema cavalleresco, guerra saraceni-cristiani, cavalieri"
A125,Ludovico Ariosto,Orlando Furioso II,Einaudi Classici 2015,"Poema cavalleresco, guerra saraceni-cristiani, cavalieri"
A111,Daniel Pennac,Il paradiso degli orchi,Feltrinelli 2011,"Romanzo poliziesco atipico, grande magazzino, Malaussène"
A110,Rolf Lappert,Pampa Blues,Feltrinelli 2013,"Romanzo young adult, avvistamento UFO, indagine omicidio"
A114,Shane Peacock,L’occhio del corvo,Feltrinelli 2015,"Romanzo, Londra, Sherlock Holmes"
A109,"Kelly More, Larkin Reed, Tucker Reed",I segreti di Amber Hause,Feltrinelli 2016,"Romanzo, fantasmi, mistero, ""sliding doors”"
A112,Javier Ruescas,Tutti i colori di te,Feltrinelli 2016,"Romanzo sentimentale, Casanova,"
A108,Amos Oz,Contro il fanatismo,Feltrinelli 2015,"Saggio, fanatismo, pragmatismo"
A115,Erri De Luca,Il peso della farfalla,Feltrinelli 2016,"Racconto camoscio, cacciatore"
A113,Vandana Shiva,Storia dei semi,Feltrinelli 2013,"Saggio, ecologia, OGM"
A136,Andrea Castelli,"Scusi, il teatro?",Curcu & Genovese Ass. 2010,"Racconti autobiografici, attore"
A132,Fabio Bonacina,Giovanni Paolo II viaggi di speranza,Vaccari 2006,Descrizione viaggi pontefice
A134,Luigi Pirandello,"Uno, nessuno e centomila",Einaudi 2014,"Romanzo, crisi dell'individuo, Vitangelo Moscarda"
A133,Herman Melville,Moby Dick,Einaudi 2015,"Romanzo avventura, balena bianca, Achab"
A131,Edgar Lee Masters,Antologia di Spoon River,Einaudi 2014,"raccolta di poesie, epitaffi,"
