n_inventario,autore,titolo,casa_editrice,anno,isbn,generi,ripetuti
400,Ignazio Silone,Il segreto di Luca,Mondadori,2000,9788804492741,"Narrativa, Romanzo",FALSE
409,Thomas Mann,"Tonio Kroger, La morte a Venezia...",Garzanti,1982,9788852031496,"Narrativa, Racconti",FALSE
411,Oreste del Buono,La stampa italiana sotto il fascismo,Feltrinelli,1971,9788807222535,"Saggistica, Storia",FALSE
413,Carlo Levi,Le parole sono pietre,Einaudi,1980,883193371X,"Saggistica, Biografia, Memorie",FALSE
414,Renata Viganò,L’Agnese va a morire,Einaudi,1982,8806174843,Romanzo Storico,FALSE
416,Ernest Hemingway,Fiesta,Einaudi,1981,8855280120,"Narrativa, Classico",FALSE
418,Robert Louis Stevenson,"Romanzi, racconti e saggi",Mondadori,-,9788804125306,"Narrativa, Racconti, Saggistica",FALSE
424,Mario Rigoni Stern,Il bosco degli urogalli,Einaudi,1974,9788858410189,"Narrativa, Racconti",FALSE
A1627,Elio Vittorini,Uomini e no,Mondadori,1973,9788867055067,Romanzo Storico,FALSE
435,Ernest Hemingway,I racconti di Nick Adams,Einaudi,1981,9788806518760,"Narrativa, Racconti",FALSE
438,Maria Bellonci,Rinascimento privato,Marsilio,-,9788852011788,Romanzo Storico,FALSE
449,Elio Vittorini,Uomini e no,Mondadori,1990,9788804332763,Romanzo Storico,FALSE
451,Maria Bellonci,Segreti dei Gonzaga,Mondadori,1997,8804808810,Romanzo Storico,FALSE
452,Dacia Maraini,La lunga vita di Marianna Ucria,Rizzoli,1992,9788858609606,Romanzo Storico,FALSE
454,Primo Levi,I sommersi e i salvati,Einaudi,1987,9788858420416,"Saggistica, Storia",FALSE
456,Herman Melville,Moby Dick,Adelphi,1987,9788845905384,"Narrativa, Avventura, Classico",FALSE
457,Maria Bellonci,Rinascimento privato,Marsilio,-,9788852011788,"Romanzo Storico, Narrativa",FALSE
462,Francesca Sanvitale,Verso Paola,Einaudi,1992,8895806026,"Narrativa, Romanzo breve",FALSE
463,Francesca Sanvitale,Verso Paola,Einaudi,1992,9788806122172,"Narrativa, Romanzo breve",FALSE
464,Marco Lodoli,I fannulloni,Einaudi,1990,9788806118434,"Romanzo, Esistenziale",FALSE
465,Marco Lodoli,I fannulloni,Einaudi,1990,9788806118434,"Romanzo, Esistenziale",FALSE
466,Cesare Pavese,La luna e i falò,Einaudi,1950,9782390802648,"Narrativa, Classici",FALSE
467,Natalia Ginzburg,La strada che va in città,Einaudi,1975,9788806412364,"Classico, Formazione",FALSE
469,Giuseppe Berto,Colloqui con il cane,Marsilio,1986,9788831749014,"Narrativa, Racconti",FALSE
470,Marco Polo,Il Milione,Einaudi,1982,1520555121,"Saggistica, Storia, Biografia, Testimonianze",FALSE
489,Vasco Pratolini,Le ragazze di Sanfrediano,Mondadori,1992,1243819103,"Neorealismo, Classico, Corale",FALSE
492,Franz Kafka,Lettera al padre,Feltrinelli,1992,8818038427,"Biografia, Diari",FALSE
496,AA. VV.,Diario del Che in Bolivia,Feltrinelli,1968,8807830019,"Biografia, Diari, Testimonianze",FALSE
499,Domenico Starnone,Segni d’oro,Feltrinelli,1992,9788807811517,"Romanzo, Satira",FALSE
502,Carlo Cassola,Fausto e Anna,Rizzoli,1992,9788852029493,"Romanzo Storico, Resistenza, Narrativa",FALSE
503,Aldo Palazzeschi,Le sorelle Materassi,Mondadori,1990,8804701579,"Narrativa, Classici",FALSE
507,William Shakespeare,Amleto,Feltrinelli,1990,9788818028409,"Poesia, Teatro",FALSE
511,Johnny Hart,L’antichissimo mondo di B.C.,Mondadori,1965,8809062035,"Fumetti, Graphic Novel",FALSE
516,Johnny Hart,B.C. in 24 lezioni,Mondadori,1972,-,"Fumetti, Graphic Novel",FALSE
519,Clara Sereni,Il gioco dei regni,Giunti,1993,8817010790,"Romanzo Storico, Biografia, Testimonianze",FALSE
520,Clara Sereni,Il gioco dei regni,Giunti,1993,8817010790,"Romanzo Storico, Biografia, Testimonianze",FALSE
521,Rosetta Loy,Le strade di polvere,Einaudi,1987,9788806599720,"Romanzo Storico, Narrativa",FALSE
A1556,Joseph Stiglitz,La globalizzazione che funziona,Einaudi,2006,8806190741,"Saggistica, Politica, Scienze",FALSE
522,Rosetta Loy,Le strade di polvere,Einaudi,1987,9788806599720,"Romanzo Storico, Narrativa",FALSE
525,Edoardo Boncinelli,Le forme della vita,Einaudi,2006,9788861267824,"Saggistica, Scienze",FALSE
523,Marx - Engels,Manifesto del Partito Comunista,Einaudi,1998,9788858830369,"Saggistica, Filosofia, Politica",FALSE
524,Michel Vovelle,La Rivoluzione francese...,Einaudi,2007,9788806187799,"Saggistica, Storia",FALSE
529,Dacia Maraini,La lunga vita di Marianna Ucria,Rizzoli,1993,9788858609606,"Romanzo Storico, Narrativa",FALSE
530,Dacia Maraini,La lunga vita di Marianna Ucria,Rizzoli,1993,9788858609606,"Romanzo Storico, Narrativa",FALSE
534,Luigi Pirandello,I vecchi e i giovani,Garzanti,1993,8817050741,"Romanzo Storico, Narrativa",FALSE
539,Marco Paolini,Il sergente,Einaudi,2008,9788806191429,"Poesia, Teatro, Romanzo Storico",FALSE
541,Ignazio Silone,Fontamara,Mondadori,1997,9788804423850,"Narrativa, Classici",FALSE
542,James Kakalios,La fisica dei supereroi,Einaudi,2005,9788806173211,"Saggistica, Scienze",FALSE
543,Giuseppe Tomasi di Lampedusa,Il Gattopardo,Feltrinelli,1993,8807013088,"Romanzo Storico, Classici",FALSE
